intensity_inhr,tc_minutes,performance_frac
0,5,0
0,10,0
0,20,0
0,30,0
0,60,0
0.01,5,0.05
0.06,5,0.36
0.12,5,0.58
0.18,5,0.70
0.24,5,0.78
0.3,5,0.83
0.36,5,0.86
0.48,5,0.90
0.5,5,0.905
0.01,10,0.07
0.03,10,0.22
0.06,10,0.41
0.09,10,0.54
0.12,10,0.62
0.18,10,0.74
0.24,10,0.81
0.30,10,0.86
0.36,10,0.88
0.42,10,0.90
0.48,10,0.92
0.50,10,0.93
0.01,20,0.10
0.03,20,0.28
0.06,20,0.46
0.09,20,0.59
0.12,20,0.67
0.14,20,0.71
0.16,20,0.75
0.18,20,0.78
0.20,20,0.80
0.22,20,0.82
0.24,20,0.84
0.26,20,0.86
0.28,20,0.87
0.30,20,0.88
0.32,20,0.89
0.34,20,0.90
0.36,20,0.91
0.38,20,0.91
0.40,20,0.92
0.42,20,0.923506206
0.44,20,0.928060554
0.46,20,0.932326245
0.48,20,0.936303281
0.5,20,0.939703005
0.01,30,0.12
0.02,30,0.24
0.03,30,0.32
0.04,30,0.38
0.05,30,0.44
0.06,30,0.49
0.07,30,0.54
0.08,30,0.58
0.09,30,0.61
0.10,30,0.65
0.12,30,0.70
0.14,30,0.74
0.16,30,0.78
0.18,30,0.81
0.20,30,0.83
0.22,30,0.85
0.24,30,0.86
0.26,30,0.88
0.28,30,0.89
0.3,30,0.898681805
0.32,30,0.907630136
0.34,30,0.915904936
0.36,30,0.922640239
0.38,30,0.928509574
0.4,30,0.933801597
0.42,30,0.938323872
0.44,30,0.942268835
0.46,30,0.946021361
0.48,30,0.949581449
0.5,30,0.952756663
0.01,60,0.17
0.02,60,0.28
0.03,60,0.37
0.04,60,0.45
0.05,60,0.51
0.06,60,0.56
0.07,60,0.60
0.08,60,0.64
0.09,60,0.68
0.10,60,0.71
0.12,60,0.76
0.14,60,0.80
0.16,60,0.83
0.18,60,0.85
0.20,60,0.88
0.22,60,0.89
0.24,60,0.91
0.26,60,0.92
0.28,60,0.93
0.3,60,0.935315932
0.32,60,0.942162316
0.34,60,0.948259877
0.36,60,0.953287691
0.38,60,0.957637997
0.4,60,0.961203823
0.42,60,0.964199116
0.44,60,0.966837826
0.46,60,0.969191271
0.48,60,0.971188133
0.5,60,0.972899729
